trial_id,condition_id,repeat,distance_m,yaw_deg,pitch_deg,pose,lighting_id,wash_state,control_file,candidate_file
D08_Y+00_P0_WALKING_DAYLIGHT_EVEN__R2,D08_Y+00_P0_WALKING_DAYLIGHT_EVEN,2,8.0,0.0,0.0,walking,daylight-even,W0,captures/D08_Y+00_P0_WALKING_DAYLIGHT_EVEN__R2__control.jpg,captures/D08_Y+00_P0_WALKING_DAYLIGHT_EVEN__R2__candidate.jpg
D08_Y+00_P0_WALKING_DAYLIGHT_EVEN__R3,D08_Y+00_P0_WALKING_DAYLIGHT_EVEN,3,8.0,0.0,0.0,walking,daylight-even,W0,captures/D08_Y+00_P0_WALKING_DAYLIGHT_EVEN__R3__control.jpg,captures/D08_Y+00_P0_WALKING_DAYLIGHT_EVEN__R3__candidate.jpg
D08_Y+30_P0_STANDING_INDOOR_EVEN__R1,D08_Y+30_P0_STANDING_INDOOR_EVEN,1,8.0,30.0,0.0,standing,indoor-even,W0,captures/D08_Y+30_P0_STANDING_INDOOR_EVEN__R1__control.jpg,captures/D08_Y+30_P0_STANDING_INDOOR_EVEN__R1__candidate.jpg
D08_Y+30_P0_STANDING_INDOOR_EVEN__R2,D08_Y+30_P0_STANDING_INDOOR_EVEN,2,8.0,30.0,0.0,standing,indoor-even,W0,captures/D08_Y+30_P0_STANDING_INDOOR_EVEN__R2__control.jpg,captures/D08_Y+30_P0_STANDING_INDOOR_EVEN__R2__candidate.jpg
D08_Y+30_P0_STANDING_INDOOR_EVEN__R3,D08_Y+30_P0_STANDING_INDOOR_EVEN,3,8.0,30.0,0.0,standing,indoor-even,W0,captures/D08_Y+30_P0_STANDING_INDOOR_EVEN__R3__control.jpg,captures/D08_Y+30_P0_STANDING_INDOOR_EVEN__R3__candidate.jpg
D08_Y+30_P0_STANDING_DAYLIGHT_EVEN__R1,D08_Y+30_P0_STANDING_DAYLIGHT_EVEN,1,8.0,30.0,0.0,standing,daylight-even,W0,captures/D08_Y+30_P0_STANDING_DAYLIGHT_EVEN__R1__control.jpg,captures/D08_Y+30_P0_STANDING_DAYLIGHT_EVEN__R1__candidate.jpg
D08_Y+30_P0_STANDING_DAYLIGHT_EVEN__R2,D08_Y+30_P0_STANDING_DAYLIGHT_EVEN,2,8.0,30.0,0.0,standing,daylight-even,W0,captures/D08_Y+30_P0_STANDING_DAYLIGHT_EVEN__R2__control.jpg,captures/D08_Y+30_P0_STANDING_DAYLIGHT_EVEN__R2__candidate.jpg
D08_Y+30_P0_STANDING_DAYLIGHT_EVEN__R3,D08_Y+30_P0_STANDING_DAYLIGHT_EVEN,3,8.0,30.0,0.0,standing,daylight-even,W0,captures/D08_Y+30_P0_STANDING_DAYLIGHT_EVEN__R3__control.jpg,captures/D08_Y+30_P0_STANDING_DAYLIGHT_EVEN__R3__candidate.jpg
D08_Y+30_P0_WALKING_INDOOR_EVEN__R1,D08_Y+30_P0_WALKING_INDOOR_EVEN,1,8.0,30.0,0.0,walking,indoor-even,W0,captures/D08_Y+30_P0_WALKING_INDOOR_EVEN__R1__control.jpg,captures/D08_Y+30_P0_WALKING_INDOOR_EVEN__R1__candidate.jpg
D08_Y+30_P0_WALKING_INDOOR_EVEN__R2,D08_Y+30_P0_WALKING_INDOOR_EVEN,2,8.0,30.0,0.0,walking,indoor-even,W0,captures/D08_Y+30_P0_WALKING_INDOOR_EVEN__R2__control.jpg,captures/D08_Y+30_P0_WALKING_INDOOR_EVEN__R2__candidate.jpg
D08_Y+30_P0_WALKING_INDOOR_EVEN__R3,D08_Y+30_P0_WALKING_INDOOR_EVEN,3,8.0,30.0,0.0,walking,indoor-even,W0,captures/D08_Y+30_P0_WALKING_INDOOR_EVEN__R3__control.jpg,captures/D08_Y+30_P0_WALKING_INDOOR_EVEN__R3__candidate.jpg
D08_Y+30_P0_WALKING_DAYLIGHT_EVEN__R1,D08_Y+30_P0_WALKING_DAYLIGHT_EVEN,1,8.0,30.0,0.0,walking,daylight-even,W0,captures/D08_Y+30_P0_WALKING_DAYLIGHT_EVEN__R1__control.jpg,captures/D08_Y+30_P0_WALKING_DAYLIGHT_EVEN__R1__candidate.jpg
D08_Y+30_P0_WALKING_DAYLIGHT_EVEN__R2,D08_Y+30_P0_WALKING_DAYLIGHT_EVEN,2,8.0,30.0,0.0,walking,daylight-even,W0,captures/D08_Y+30_P0_WALKING_DAYLIGHT_EVEN__R2__control.jpg,captures/D08_Y+30_P0_WALKING_DAYLIGHT_EVEN__R2__candidate.jpg
D08_Y+30_P0_WALKING_DAYLIGHT_EVEN__R3,D08_Y+30_P0_WALKING_DAYLIGHT_EVEN,3,8.0,30.0,0.0,walking,daylight-even,W0,captures/D08_Y+30_P0_WALKING_DAYLIGHT_EVEN__R3__control.jpg,captures/D08_Y+30_P0_WALKING_DAYLIGHT_EVEN__R3__candidate.jpg
D08_Y-30_P0_STANDING_INDOOR_EVEN__R1,D08_Y-30_P0_STANDING_INDOOR_EVEN,1,8.0,-30.0,0.0,standing,indoor-even,W0,captures/D08_Y-30_P0_STANDING_INDOOR_EVEN__R1__control.jpg,captures/D08_Y-30_P0_STANDING_INDOOR_EVEN__R1__candidate.jpg
D08_Y-30_P0_STANDING_INDOOR_EVEN__R2,D08_Y-30_P0_STANDING_INDOOR_EVEN,2,8.0,-30.0,0.0,standing,indoor-even,W0,captures/D08_Y-30_P0_STANDING_INDOOR_EVEN__R2__control.jpg,captures/D08_Y-30_P0_STANDING_INDOOR_EVEN__R2__candidate.jpg
D08_Y-30_P0_STANDING_INDOOR_EVEN__R3,D08_Y-30_P0_STANDING_INDOOR_EVEN,3,8.0,-30.0,0.0,standing,indoor-even,W0,captures/D08_Y-30_P0_STANDING_INDOOR_EVEN__R3__control.jpg,captures/D08_Y-30_P0_STANDING_INDOOR_EVEN__R3__candidate.jpg
D08_Y-30_P0_STANDING_DAYLIGHT_EVEN__R1,D08_Y-30_P0_STANDING_DAYLIGHT_EVEN,1,8.0,-30.0,0.0,standing,daylight-even,W0,captures/D08_Y-30_P0_STANDING_DAYLIGHT_EVEN__R1__control.jpg,captures/D08_Y-30_P0_STANDING_DAYLIGHT_EVEN__R1__candidate.jpg
D08_Y-30_P0_STANDING_DAYLIGHT_EVEN__R2,D08_Y-30_P0_STANDING_DAYLIGHT_EVEN,2,8.0,-30.0,0.0,standing,daylight-even,W0,captures/D08_Y-30_P0_STANDING_DAYLIGHT_EVEN__R2__control.jpg,captures/D08_Y-30_P0_STANDING_DAYLIGHT_EVEN__R2__candidate.jpg
D08_Y-30_P0_STANDING_DAYLIGHT_EVEN__R3,D08_Y-30_P0_STANDING_DAYLIGHT_EVEN,3,8.0,-30.0,0.0,standing,daylight-even,W0,captures/D08_Y-30_P0_STANDING_DAYLIGHT_EVEN__R3__control.jpg,captures/D08_Y-30_P0_STANDING_DAYLIGHT_EVEN__R3__candidate.jpg
D08_Y-30_P0_WALKING_INDOOR_EVEN__R1,D08_Y-30_P0_WALKING_INDOOR_EVEN,1,8.0,-30.0,0.0,walking,indoor-even,W0,captures/D08_Y-30_P0_WALKING_INDOOR_EVEN__R1__control.jpg,captures/D08_Y-30_P0_WALKING_INDOOR_EVEN__R1__candidate.jpg
D08_Y-30_P0_WALKING_INDOOR_EVEN__R2,D08_Y-30_P0_WALKING_INDOOR_EVEN,2,8.0,-30.0,0.0,walking,indoor-even,W0,captures/D08_Y-30_P0_WALKING_INDOOR_EVEN__R2__control.jpg,captures/D08_Y-30_P0_WALKING_INDOOR_EVEN__R2__candidate.jpg
D08_Y-30_P0_WALKING_INDOOR_EVEN__R3,D08_Y-30_P0_WALKING_INDOOR_EVEN,3,8.0,-30.0,0.0,walking,indoor-even,W0,captures/D08_Y-30_P0_WALKING_INDOOR_EVEN__R3__control.jpg,captures/D08_Y-30_P0_WALKING_INDOOR_EVEN__R3__candidate.jpg
D08_Y-30_P0_WALKING_DAYLIGHT_EVEN__R1,D08_Y-30_P0_WALKING_DAYLIGHT_EVEN,1,8.0,-30.0,0.0,walking,daylight-even,W0,captures/D08_Y-30_P0_WALKING_DAYLIGHT_EVEN__R1__control.jpg,captures/D08_Y-30_P0_WALKING_DAYLIGHT_EVEN__R1__candidate.jpg
D08_Y-30_P0_WALKING_DAYLIGHT_EVEN__R2,D08_Y-30_P0_WALKING_DAYLIGHT_EVEN,2,8.0,-30.0,0.0,walking,daylight-even,W0,captures/D08_Y-30_P0_WALKING_DAYLIGHT_EVEN__R2__control.jpg,captures/D08_Y-30_P0_WALKING_DAYLIGHT_EVEN__R2__candidate.jpg
D08_Y-30_P0_WALKING_DAYLIGHT_EVEN__R3,D08_Y-30_P0_WALKING_DAYLIGHT_EVEN,3,8.0,-30.0,0.0,walking,daylight-even,W0,captures/D08_Y-30_P0_WALKING_DAYLIGHT_EVEN__R3__control.jpg,captures/D08_Y-30_P0_WALKING_DAYLIGHT_EVEN__R3__candidate.jpg
